Implementation;K;N;M;T;max_iterations;Flops;Cylces;Iterations;Performance;Memory (aprox.)(bytes);Benchmark time(s)
Baseline;16;16;16;32;500;1235232;907261208.800000;0;0.680748;1296416;7.635654
jc-reordered;16;16;16;32;500;1235232;719910259.900000;0;0.857907;1296416;6.065742
scalar-reorder;16;16;16;32;500;1235232;722659321.900000;0;0.854643;1296416;6.080429
scalar-blocking;16;16;16;32;500;1235232;407436095.400000;0;1.515860;1296416;3.432127
other-unroll;16;16;16;32;500;1235232;232137942.250000;0;2.660556;1296416;1.956275
vector_optimized;16;16;16;32;500;1235232;317379496.600000;0;1.945986;1296416;2.673663
combined;16;16;16;32;500;1235232;184305372.450000;0;3.351047;1296416;1.553379
Baseline;16;16;32;32;500;1243680;1047874657.750000;427;0.593430;1298464;8.826618
jc-reordered;16;16;32;32;500;1243680;899623240.350000;427;0.691223;1298464;7.576873
scalar-reorder;16;16;32;32;500;1243680;885965853.100000;427;0.701878;1298464;7.460315
scalar-blocking;16;16;32;32;500;1243680;523219638.700000;427;1.188487;1298464;4.406926
other-unroll;16;16;32;32;500;1243680;256908164.900000;427;2.420476;1298464;2.165003
vector_optimized;16;16;32;32;500;1243680;366389808.000000;427;1.697209;1298464;3.086395
combined;16;16;32;32;500;1243680;216581215.350000;427;2.871163;1298464;1.825085
Baseline;16;16;64;32;500;1260576;1414994058.600000;221;0.445435;1302560;11.914552
jc-reordered;16;16;64;32;500;1260576;1272640790.850000;221;0.495260;1302560;10.716987
scalar-reorder;16;16;64;32;500;1260576;1284194175.150000;221;0.490804;1302560;10.804013
scalar-blocking;16;16;64;32;500;1260576;745313769.200000;221;0.845668;1302560;6.277045
other-unroll;16;16;64;32;500;1260576;297504955.000000;221;2.118580;1302560;2.506529
vector_optimized;16;16;64;32;500;1260576;454074825.400000;221;1.388071;1302560;3.824570
combined;16;16;64;32;500;1260576;267765038.500000;221;2.353885;1302560;2.256229
Baseline;16;16;128;32;500;1294368;2139405419.300000;219;0.302506;1310752;18.014895
jc-reordered;16;16;128;32;500;1294368;2005347372.600000;219;0.322729;1310752;16.880908
scalar-reorder;16;16;128;32;500;1294368;1960559276.900000;219;0.330102;1310752;16.509109
scalar-blocking;16;16;128;32;500;1294368;1183984942.100000;219;0.546615;1310752;9.967365
other-unroll;16;16;128;32;500;1294368;370442715.700000;219;1.747056;1310752;3.120939
vector_optimized;16;16;128;32;500;1294368;652245963.950000;219;0.992239;1310752;5.485059
combined;16;16;128;32;500;1294368;353309987.400000;219;1.831774;1310752;2.988482
Baseline;32;16;16;32;500;2469936;1743889135.950000;0;0.708169;2584608;14.686352
jc-reordered;32;16;16;32;500;2469936;1434060892.150000;0;0.861168;2584608;12.076855
scalar-reorder;32;16;16;32;500;2469936;1414896146.250000;0;0.872833;2584608;11.918765
scalar-blocking;32;16;16;32;500;2469936;837073286.000000;0;1.475340;2584608;7.052412
other-unroll;32;16;16;32;500;2469936;481817573.950000;0;2.563144;2584608;4.060747
vector_optimized;32;16;16;32;500;2469936;643386223.900000;0;1.919482;2584608;5.421124
combined;32;16;16;32;500;2469936;382024858.800000;0;3.232690;2584608;3.220655
Baseline;64;16;16;32;500;4939344;3441576411.950000;0;0.717599;5160992;28.984590
jc-reordered;64;16;16;32;500;4939344;2905727773.950000;0;0.849932;5160992;24.470437
scalar-reorder;64;16;16;32;500;4939344;2834501776.100000;0;0.871290;5160992;23.869869
scalar-blocking;64;16;16;32;500;4939344;1741050634.600000;0;1.418495;5160992;14.667812
other-unroll;64;16;16;32;500;4939344;1016719381.050000;0;2.429060;5160992;8.569984
vector_optimized;64;16;16;32;500;4939344;1355428616.850000;0;1.822060;5160992;11.422532
combined;64;16;16;32;500;4939344;820478547.750000;0;3.010038;5160992;6.919001
Baseline;128;16;16;32;500;9878160;7654911267.750000;0;0.645217;10313760;64.405501
jc-reordered;128;16;16;32;500;9878160;6315305867.900000;0;0.782081;10313760;53.175178
scalar-reorder;128;16;16;32;500;9878160;6509800760.200000;0;0.758714;10313760;54.819413
scalar-blocking;128;16;16;32;500;9878160;4596276878.050000;0;1.074583;10313760;38.708090
other-unroll;128;16;16;32;500;9878160;2825428463.050000;0;1.748082;10313760;23.801869
vector_optimized;128;16;16;32;500;9878160;4080206384.650000;0;1.210498;10313760;34.354553
combined;128;16;16;32;500;9878160;2485906607.400000;0;1.986832;10313760;20.944336
Baseline;16;16;16;64;500;2481440;1869594921.000000;0;0.663630;2549792;15.743413
jc-reordered;16;16;16;64;500;2481440;1555054687.950000;0;0.797863;2549792;13.092431
scalar-reorder;16;16;16;64;500;2481440;1545989187.500000;0;0.802541;2549792;13.021411
scalar-blocking;16;16;16;64;500;2481440;828173141.100000;0;1.498141;2549792;6.976633
other-unroll;16;16;16;64;500;2481440;502791163.650000;0;2.467665;2549792;4.235574
vector_optimized;16;16;16;64;500;2481440;664774775.600000;0;1.866376;2549792;5.601390
combined;16;16;16;64;500;2481440;373110409.050000;0;3.325343;2549792;3.145609
Baseline;16;16;16;128;500;4973856;3777731908.550000;0;0.658312;5056544;31.812589
jc-reordered;16;16;16;128;500;4973856;3232261995.350000;0;0.769408;5056544;27.220635
scalar-reorder;16;16;16;128;500;4973856;3115716751.450000;0;0.798188;5056544;26.243360
scalar-blocking;16;16;16;128;500;4973856;1810321359.150000;0;1.373749;5056544;15.252145
other-unroll;16;16;16;128;500;4973856;1050628427.700000;0;2.367086;5056544;8.856208
vector_optimized;16;16;16;128;500;4973856;1435221693.550000;0;1.732783;5056544;12.094649
combined;16;16;16;128;500;4973856;826332119.150000;0;3.009599;5056544;6.968818
Baseline;16;16;16;192;500;7466272;6076475802.500000;0;0.614359;7563296;51.168928
jc-reordered;16;16;16;192;500;7466272;5266704896.050000;0;0.708818;7563296;44.347868
scalar-reorder;16;16;16;192;500;7466272;5593885309.300000;0;0.667360;7563296;47.074522
scalar-blocking;16;16;16;192;500;7466272;3283380502.200000;0;1.136979;7563296;27.657233
other-unroll;16;16;16;192;500;7466272;2073933837.750000;0;1.800027;7563296;17.473089
vector_optimized;16;16;16;192;500;7466272;2483042383.400000;0;1.503452;7563296;20.918593
combined;16;16;16;192;500;7466272;1791959583.300000;0;2.083270;7563296;15.098949
Baseline;16;32;16;32;500;4788272;3060059226.550000;389;0.782382;4747424;25.768355
jc-reordered;16;32;16;32;500;4788272;2481743522.300000;389;0.964699;4747424;20.899427
scalar-reorder;16;32;16;32;500;4788272;2345956220.450000;389;1.020537;4747424;19.757928
scalar-blocking;16;32;16;32;500;4788272;1279156709.100000;389;1.871652;4747424;10.778401
other-unroll;16;32;16;32;500;4788272;765759011.100000;389;3.126488;4747424;6.458579
vector_optimized;16;32;16;32;500;4788272;1204773920.700000;389;1.987208;4747424;10.152795
combined;16;32;16;32;500;4788272;653210960.100000;389;3.665180;4747424;5.511553
Baseline;16;48;16;32;500;10660160;6555700574.500000;283;0.813045;10365216;55.199816
jc-reordered;16;48;16;32;500;10660160;5090677704.500000;283;1.047028;10365216;42.867191
scalar-reorder;16;48;16;32;500;10660160;5023135206.300000;283;1.061106;10365216;42.302801
scalar-blocking;16;48;16;32;500;10660160;3459359070.800000;283;1.540771;10365216;29.139565
other-unroll;16;48;16;32;500;10660160;2923014223.200000;283;1.823488;10365216;24.620731
vector_optimized;16;48;16;32;500;10660160;3348037588.300000;283;1.592001;10365216;28.200287
combined;16;48;16;32;500;10660160;2609309007.350000;283;2.042717;10365216;21.981373
Baseline;16;64;16;32;500;18850896;12217180603.500000;286;0.771491;18149792;102.862914
jc-reordered;16;64;16;32;500;18850896;9817146424.400000;286;0.960101;18149792;82.659544
scalar-reorder;16;64;16;32;500;18850896;9880307847.900000;286;0.953963;18149792;83.193048
scalar-blocking;16;64;16;32;500;18850896;7321679326.500000;286;1.287334;18149792;61.653209
other-unroll;16;64;16;32;500;18850896;5199049556.850000;286;1.812918;18149792;43.779959
vector_optimized;16;64;16;32;500;18850896;6236441933.400000;286;1.511350;18149792;52.516619
combined;16;64;16;32;500;18850896;4850178730.550000;286;1.943320;18149792;40.845058
Baseline;32;32;32;32;500;9608256;7342587382.350000;246;0.654283;9482400;61.836858
jc-reordered;32;32;32;32;500;9608256;6016694806.950000;246;0.798466;9482400;50.661165
scalar-reorder;32;32;32;32;500;9608256;6004012747.450000;246;0.800153;9482400;50.583792
scalar-blocking;32;32;32;32;500;9608256;3859449793.000000;246;1.244770;9482400;32.506444
other-unroll;32;32;32;32;500;9608256;2528585127.750000;246;1.899927;9482400;21.298271
vector_optimized;32;32;32;32;500;9608256;3523150633.600000;246;1.363589;9482400;29.670567
combined;32;32;32;32;500;9608256;2341764219.300000;246;2.051499;9482400;19.727019
Baseline;16;16;256;32;500;1361952;3092173711.650000;90;0.220226;1327136;26.044397
jc-reordered;16;16;256;32;500;1361952;3409386323.000000;90;0.199736;1327136;28.662978
scalar-reorder;16;16;256;32;500;1361952;3218582409.600000;90;0.211576;1327136;27.099872
scalar-blocking;16;16;256;32;500;1361952;1995263263.400000;90;0.341296;1327136;16.800231
other-unroll;16;16;256;32;500;1361952;480051907.200000;90;1.418547;1327136;4.043457
vector_optimized;16;16;256;32;500;1361952;739181802.600000;90;0.921256;1327136;6.225288
combined;16;16;256;32;500;1361952;606073454.350000;90;1.123587;1327136;5.099982
Baseline;16;16;512;32;500;1497120;5346880196.600000;150;0.139999;1359904;45.048415
jc-reordered;16;16;512;32;500;1497120;6095671316.800000;150;0.122802;1359904;51.341153
scalar-reorder;16;16;512;32;500;1497120;5757969501.550000;150;0.130004;1359904;48.478381
scalar-blocking;16;16;512;32;500;1497120;3490627715.300000;150;0.214449;1359904;29.390776
other-unroll;16;16;512;32;500;1497120;740054750.350000;150;1.011493;1359904;6.232426
vector_optimized;16;16;512;32;500;1497120;1220771065.000000;150;0.613186;1359904;10.280284
combined;16;16;512;32;500;1497120;1013698661.200000;150;0.738444;1359904;8.536949
Baseline;192;16;16;32;500;14816976;10561544370.850000;0;0.701459;15466528;88.926859
jc-reordered;192;16;16;32;500;14816976;9077632746.400000;0;0.816126;15466528;76.432002
scalar-reorder;192;16;16;32;500;14816976;10162979017.750000;0;0.728968;15466528;85.571550
scalar-blocking;192;16;16;32;500;14816976;7554842960.100000;0;0.980628;15466528;63.612495
other-unroll;192;16;16;32;500;14816976;4602945851.750000;0;1.609510;15466528;38.760339
vector_optimized;192;16;16;32;500;14816976;5006210410.950000;0;1.479859;15466528;42.155450
combined;192;16;16;32;500;14816976;4102281901.450000;0;1.805943;15466528;34.547779
Baseline;16;16;16;96;500;3727648;2810883260.150000;0;0.663074;3803168;23.670922
jc-reordered;16;16;16;96;500;3727648;2324845754.300000;0;0.801698;3803168;19.576552
scalar-reorder;16;16;16;96;500;3727648;2219204894.500000;0;0.839861;3803168;18.688357
scalar-blocking;16;16;16;96;500;3727648;1307431801.600000;0;1.425561;3803168;11.015754
other-unroll;16;16;16;96;500;3727648;753544416.550000;0;2.473410;3803168;6.352852
vector_optimized;16;16;16;96;500;3727648;968098415.750000;0;1.925242;3803168;8.156222
combined;16;16;16;96;500;3727648;590648354.750000;0;3.155556;3803168;4.981033
Baseline;16;16;16;192;500;7466272;6345783787.650000;0;0.588286;7563296;53.612329
jc-reordered;16;16;16;192;500;7466272;5630512724.300000;0;0.663019;7563296;47.399874
scalar-reorder;16;16;16;192;500;7466272;5799328724.500000;0;0.643719;7563296;48.834444
scalar-blocking;16;16;16;192;500;7466272;3148792864.850000;0;1.185577;7563296;26.521890
other-unroll;16;16;16;192;500;7466272;2003445924.700000;0;1.863358;7563296;16.878118
vector_optimized;16;16;16;192;500;7466272;2309071658.600000;0;1.616726;7563296;19.449670
combined;16;16;16;192;500;7466272;1704715818.350000;0;2.189888;7563296;14.358025
Baseline;16;16;16;256;500;9958688;8235242633.200000;0;0.604638;10070048;69.340506
jc-reordered;16;16;16;256;500;9958688;7224235320.400000;0;0.689256;10070048;60.830961
scalar-reorder;16;16;16;256;500;9958688;7957170554.650000;0;0.625768;10070048;67.000072
scalar-blocking;16;16;16;256;500;9958688;5193201919.350000;0;0.958820;10070048;43.737665
other-unroll;16;16;16;256;500;9958688;3173649376.100000;0;1.568965;10070048;26.726623
vector_optimized;16;16;16;256;500;9958688;3480151276.000000;0;1.430784;10070048;29.306968
combined;16;16;16;256;500;9958688;2826604170.850000;0;1.761599;10070048;23.804675
Baseline;16;16;16;320;500;12451104;10281979650.200001;0;0.605482;12576800;86.571028
jc-reordered;16;16;16;320;500;12451104;9158105868.250000;0;0.679786;12576800;77.119809
scalar-reorder;16;16;16;320;500;12451104;10039789604.750000;0;0.620088;12576800;84.536442
scalar-blocking;16;16;16;320;500;12451104;6836223262.150000;0;0.910671;12576800;57.564416
other-unroll;16;16;16;320;500;12451104;4063455740.650000;0;1.532083;12576800;34.218435
vector_optimized;16;16;16;320;500;12451104;4377556389.450000;0;1.422152;12576800;36.862428
combined;16;16;16;320;500;12451104;3627880368.800000;0;1.716030;12576800;30.550849
Baseline;16;80;16;32;500;29360480;16898198700.250000;416;0.868746;28101152;142.277309
jc-reordered;16;80;16;32;500;29360480;13017114182.299999;416;1.127765;28101152;109.593325
scalar-reorder;16;80;16;32;500;29360480;13505349095.750000;416;1.086994;28101152;113.709797
scalar-blocking;16;80;16;32;500;29360480;9918951995.850000;416;1.480019;28101152;83.519545
other-unroll;16;80;16;32;500;29360480;7338651180.650000;416;2.000400;28101152;61.791755
vector_optimized;16;80;16;32;500;29360480;8339343246.800000;416;1.760359;28101152;70.219960
combined;16;80;16;32;500;29360480;6740577613.400000;416;2.177891;28101152;56.758655
Baseline;16;96;16;32;500;42188912;25997948017.400002;450;0.811389;40219296;218.888936
jc-reordered;16;96;16;32;500;42188912;20591430605.700001;450;1.024429;40219296;173.372464
scalar-reorder;16;96;16;32;500;42188912;20637064957.500000;450;1.022164;40219296;173.759091
